Calibration metrics:
x308: Cal. error 0.0120, RMSE 0.0980, R2 0.7566
x309: Cal. error 0.0140, RMSE 0.0930, R2 0.7451
x310: Cal. error 0.0320, RMSE 0.0927, R2 0.7301
x311: Cal. error 0.0540, RMSE 0.1010, R2 0.7162
x312: Cal. error 0.0630, RMSE 0.1050, R2 0.7191
x313: Cal. error 0.0290, RMSE 0.0964, R2 0.7280
x314: Cal. error 0.0330, RMSE 0.0911, R2 0.7400
x315: Cal. error 0.1090, RMSE 0.0932, R2 0.7290
x316: Cal. error 0.1550, RMSE 0.1002, R2 0.6945
x317: Cal. error 0.2100, RMSE 0.0977, R2 0.7026
x318: Cal. error 0.2940, RMSE 0.0934, R2 0.6777
x319: Cal. error 0.3570, RMSE 0.0948, R2 0.6516
x320: Cal. error 0.2500, RMSE 0.1275, R2 0.3833
x321: Cal. error 0.0550, RMSE 0.1263, R2 0.4611
x322: Cal. error 0.0190, RMSE 0.1311, R2 0.5221
x323: Cal. error 0.0150, RMSE 0.1393, R2 0.5364
x324: Cal. error 0.0260, RMSE 0.1389, R2 0.5706
x325: Cal. error 0.0140, RMSE 0.1420, R2 0.5868
x326: Cal. error 0.0660, RMSE 0.1404, R2 0.5964
x327: Cal. error 0.0940, RMSE 0.1337, R2 0.6009
x328: Cal. error 0.1060, RMSE 0.1339, R2 0.5961
x329: Cal. error 0.1020, RMSE 0.1288, R2 0.6009
x330: Cal. error 0.1070, RMSE 0.1238, R2 0.6084
x331: Cal. error 0.1260, RMSE 0.1208, R2 0.5998
x332: Cal. error 0.1070, RMSE 0.1187, R2 0.5969
x333: Cal. error 0.1210, RMSE 0.1204, R2 0.5888
x334: Cal. error 0.1420, RMSE 0.1189, R2 0.6038
x335: Cal. error 0.1510, RMSE 0.1187, R2 0.5947
x336: Cal. error 0.1340, RMSE 0.1149, R2 0.5917
x337: Cal. error 0.1170, RMSE 0.1123, R2 0.5858
x338: Cal. error 0.1090, RMSE 0.1097, R2 0.5850
x339: Cal. error 0.1070, RMSE 0.1096, R2 0.5804
x340: Cal. error 0.1010, RMSE 0.1100, R2 0.5745
x341: Cal. error 0.0950, RMSE 0.1118, R2 0.5688
x342: Cal. error 0.0990, RMSE 0.1164, R2 0.5570
x343: Cal. error 0.1100, RMSE 0.1215, R2 0.5452
x344: Cal. error 0.1020, RMSE 0.1227, R2 0.5316
x345: Cal. error 0.1010, RMSE 0.1267, R2 0.5178
x346: Cal. error 0.0960, RMSE 0.1368, R2 0.5139
x347: Cal. error 0.0920, RMSE 0.1372, R2 0.5032
x348: Cal. error 0.0750, RMSE 0.1324, R2 0.4979
x349: Cal. error 0.0650, RMSE 0.1302, R2 0.4781
x350: Cal. error 0.0670, RMSE 0.1265, R2 0.4726
x351: Cal. error 0.0760, RMSE 0.1189, R2 0.4622
x352: Cal. error 0.0770, RMSE 0.1111, R2 0.4689
x353: Cal. error 0.0790, RMSE 0.1089, R2 0.4642
x354: Cal. error 0.0710, RMSE 0.1090, R2 0.4813
x355: Cal. error 0.0780, RMSE 0.1149, R2 0.4844
x356: Cal. error 0.0520, RMSE 0.1224, R2 0.4973
x357: Cal. error 0.0700, RMSE 0.1300, R2 0.4899
x358: Cal. error 0.0930, RMSE 0.1397, R2 0.4727
x359: Cal. error 0.1110, RMSE 0.1389, R2 0.4678
x360: Cal. error 0.0950, RMSE 0.1387, R2 0.4586
x361: Cal. error 0.1010, RMSE 0.1366, R2 0.4543
x362: Cal. error 0.0850, RMSE 0.1294, R2 0.4627
x363: Cal. error 0.0940, RMSE 0.1221, R2 0.4648
x364: Cal. error 0.0740, RMSE 0.1208, R2 0.4842
x365: Cal. error 0.0730, RMSE 0.1206, R2 0.4938
x366: Cal. error 0.0670, RMSE 0.1203, R2 0.5003
x367: Cal. error 0.0650, RMSE 0.1228, R2 0.4971
x368: Cal. error 0.0690, RMSE 0.1257, R2 0.4869
x369: Cal. error 0.0660, RMSE 0.1283, R2 0.4687
x370: Cal. error 0.0570, RMSE 0.1347, R2 0.4570
x371: Cal. error 0.0620, RMSE 0.1432, R2 0.4338
x372: Cal. error 0.0530, RMSE 0.1500, R2 0.4296
x373: Cal. error 0.0600, RMSE 0.1420, R2 0.4070
x374: Cal. error 0.0750, RMSE 0.1410, R2 0.3766
x375: Cal. error 0.0700, RMSE 0.1526, R2 0.3541
x376: Cal. error 0.0660, RMSE 0.1572, R2 0.3718
x377: Cal. error 0.0700, RMSE 0.1469, R2 0.3702
x378: Cal. error 0.0780, RMSE 0.1406, R2 0.3825
x379: Cal. error 0.1110, RMSE 0.1430, R2 0.3631
x380: Cal. error 0.1530, RMSE 0.1454, R2 0.3564
x381: Cal. error 0.1920, RMSE 0.1412, R2 0.3770
x382: Cal. error 0.2330, RMSE 0.1286, R2 0.3848
x383: Cal. error 0.3060, RMSE 0.1278, R2 0.3607
x384: Cal. error 0.2390, RMSE 0.0959, R2 0.6736
x385: Cal. error 0.1460, RMSE 0.0942, R2 0.7027
x386: Cal. error 0.0300, RMSE 0.0900, R2 0.7191
x387: Cal. error 0.0270, RMSE 0.0877, R2 0.7499
x388: Cal. error 0.0130, RMSE 0.0869, R2 0.7695
x389: Cal. error 0.0300, RMSE 0.0908, R2 0.7781
x390: Cal. error 0.0310, RMSE 0.0937, R2 0.7826
x391: Cal. error 0.0800, RMSE 0.0965, R2 0.7865
x392: Cal. error 0.0490, RMSE 0.0960, R2 0.8028
x393: Cal. error 0.1040, RMSE 0.0890, R2 0.8111
x394: Cal. error 0.0470, RMSE 0.0792, R2 0.8308
x395: Cal. error 0.0880, RMSE 0.0748, R2 0.8341
x396: Cal. error 0.0560, RMSE 0.0717, R2 0.8417
x397: Cal. error 0.1020, RMSE 0.0787, R2 0.8149
x398: Cal. error 0.0740, RMSE 0.0782, R2 0.8069
x399: Cal. error 0.1150, RMSE 0.0824, R2 0.7916
x400: Cal. error 0.0880, RMSE 0.0882, R2 0.7880
x401: Cal. error 0.1050, RMSE 0.0953, R2 0.7777
x402: Cal. error 0.0860, RMSE 0.0921, R2 0.7879
x403: Cal. error 0.1160, RMSE 0.0917, R2 0.7657
x404: Cal. error 0.1060, RMSE 0.0892, R2 0.7577
x405: Cal. error 0.1530, RMSE 0.0871, R2 0.7590
x406: Cal. error 0.1090, RMSE 0.0883, R2 0.7662
x407: Cal. error 0.1340, RMSE 0.0870, R2 0.7720
x408: Cal. error 0.1010, RMSE 0.0863, R2 0.7802
x409: Cal. error 0.1480, RMSE 0.0890, R2 0.7729
x410: Cal. error 0.1210, RMSE 0.0895, R2 0.7856
x411: Cal. error 0.1440, RMSE 0.0926, R2 0.7832
x412: Cal. error 0.1090, RMSE 0.0881, R2 0.7963
x413: Cal. error 0.1040, RMSE 0.0838, R2 0.7982
x414: Cal. error 0.0990, RMSE 0.0789, R2 0.8165
x415: Cal. error 0.1160, RMSE 0.0727, R2 0.8288
x416: Cal. error 0.0320, RMSE 0.0597, R2 0.8455
x417: Cal. error 0.0380, RMSE 0.0579, R2 0.8393
x418: Cal. error 0.0320, RMSE 0.0587, R2 0.8299
x419: Cal. error 0.0820, RMSE 0.0618, R2 0.8201
x420: Cal. error 0.0650, RMSE 0.0649, R2 0.8185
x421: Cal. error 0.1080, RMSE 0.0720, R2 0.8175
x422: Cal. error 0.1310, RMSE 0.0786, R2 0.8085
x423: Cal. error 0.1490, RMSE 0.0825, R2 0.8090
x424: Cal. error 0.1430, RMSE 0.0822, R2 0.8124
